Date,Customer_ID,Location,Customer_Type,Product,Quantity_Sold_kg,Price_per_kg_KES,Sugarcane_Input_kg,Labor_Cost_KES,Transport_Cost_KES,Sugarcane_Cost_KES,Revenue_KES,Jaggery_Output_kg,Beginning_Inventory_kg,Ending_Inventory_kg
2025-01-05,5a75a9e1,Siaya,Wholesale,Liquid Jaggery,23,133,119,518,163,1661,3059,63.79478074919169,80.97259025242582,57.97259025242582
2025-01-05,38a02af2,Siaya,Wholesale,Jaggery Paste,88,105,119,905,356,882,9240,59.72092484980597,106.82106690166898,18.821066901668985
2025-01-06,3d87274d,Migori,Wholesale,Jaggery Paste,63,147,108,333,450,1624,9261,39.35426999810348,69.35336059660023,6.353360596600226
2025-01-06,7380b73a,Homa Bay,Individual,Jaggery Paste,35,75,51,903,314,1026,2625,21.67386108509824,50.16808512248474,15.16808512248474
2025-01-06,906962a6,Migori,Individual,Liquid Jaggery,21,75,190,534,380,1497,1575,108.38582030872428,131.61762009996602,110.61762009996602
2025-01-06,62daff0a,Siaya,Retail,Jaggery Paste,87,73,187,364,172,759,6351,83.45332795055576,107.98825629047967,20.98825629047967
2025-01-06,9d81c2a6,Kisumu,Retail,Jaggery Blocks,25,139,133,583,308,758,3475,70.86147630762817,101.29104948787685,76.29104948787685
2025-01-06,d267d377,Migori,Individual,Jaggery Blocks,75,116,160,931,226,1694,8700,64.83539032340681,83.07633926669018,8.076339266690184
2025-01-07,7756ed3a,Migori,Individual,Jaggery Blocks,94,114,105,767,136,963,10716,57.92496882246189,95.4954342411001,1.4954342411000994
2025-01-07,6a497130,Kisumu,Wholesale,Liquid Jaggery,86,95,63,911,499,1595,8170,37.05776086751379,85.23382126075643,0.0
2025-01-07,a8cb402f,Kisumu,Individual,Jaggery Blocks,59,98,194,665,193,974,5782,85.73864832492167,104.26094235424192,45.26094235424192
2025-01-08,a2918408,Kisumu,Retail,Jaggery Blocks,35,109,111,526,392,833,3815,39.31606787345023,63.593559791375625,28.593559791375625
2025-01-08,9103dbc1,Kisumu,Retail,Jaggery Paste,89,82,172,579,414,1544,7298,94.60228542067385,132.81679305654114,43.816793056541144
2025-01-08,fe3b6b1a,Homa Bay,Individual,Jaggery Blocks,73,137,147,485,263,734,10001,50.014675361501745,97.40075346979057,24.400753469790573
2025-01-08,e268a0d2,Kisumu,Retail,Liquid Jaggery,41,104,143,553,204,606,4264,64.55912956758867,98.67928318478513,57.679283184785135
2025-01-08,36f5c29d,Migori,Wholesale,Jaggery Blocks,61,111,98,964,306,1600,6771,40.18409302311616,52.38560137882481,0.0
2025-01-08,c8b251ac,Homa Bay,Retail,Jaggery Blocks,10,70,102,714,324,1541,700,61.16631818361286,100.03225995368228,90.03225995368228
2025-01-08,ea790c6b,Kisumu,Wholesale,Jaggery Blocks,72,139,120,718,162,876,10008,37.280957248564654,51.5356839039744,0.0
2025-01-08,d1cbe6e5,Siaya,Individual,Jaggery Blocks,34,114,118,805,453,1994,3876,51.07387947291107,92.9745757407465,58.9745757407465
2025-01-08,cc268d98,Siaya,Wholesale,Jaggery Paste,35,99,174,369,352,638,3465,56.60505088011832,93.74182094866681,58.74182094866681
2025-01-09,19f7e92a,Migori,Retail,Jaggery Blocks,96,140,91,797,127,1995,13440,38.33325218751364,62.72855609769583,0.0
2025-01-09,e9f80828,Kisumu,Wholesale,Liquid Jaggery,29,137,91,362,380,920,3973,53.76890269359296,92.55668555202647,63.556685552026465
2025-01-09,2bc5a9c5,Kisumu,Individual,Jaggery Paste,19,94,179,405,413,1860,1786,101.91712822637734,150.0808848224694,131.0808848224694
2025-01-09,4311b0db,Migori,Retail,Jaggery Blocks,31,112,168,702,142,756,3472,65.69621008216636,77.34532264212878,46.34532264212878
2025-01-09,d0b42baa,Migori,Wholesale,Jaggery Blocks,36,82,150,811,267,1421,2952,62.32728056416275,75.51351420139822,39.51351420139822
2025-01-09,ebf15d0a,Kisii,Individual,Jaggery Paste,70,93,116,679,271,691,6510,40.5763553118149,56.23843969089914,0.0
2025-01-10,968890cc,Kisumu,Retail,Jaggery Blocks,60,108,149,820,458,1011,6480,49.41124298686256,69.40629139348167,9.406291393481666
2025-01-10,9a39d40a,Kisumu,Retail,Jaggery Blocks,18,148,188,601,298,1498,2664,90.73197393885141,138.75335291997808,120.75335291997808
2025-01-10,3d7c6096,Kisumu,Wholesale,Jaggery Paste,87,72,63,658,222,1002,6264,37.19559616720218,66.21224565136275,0.0
2025-01-10,fb90cf1e,Kisumu,Individual,Jaggery Blocks,85,149,103,622,200,523,12665,53.582872108081624,96.85583684352096,11.855836843520962
2025-01-11,f2294cdf,Kisumu,Wholesale,Jaggery Paste,78,142,123,574,107,662,11076,67.06251959943017,100.04549973835086,22.045499738350856
2025-01-11,24cde351,Migori,Wholesale,Jaggery Blocks,10,89,81,738,181,1412,890,48.41147853112527,83.3303940386491,73.3303940386491
2025-01-11,bd81d199,Kisumu,Individual,Liquid Jaggery,79,109,150,334,464,766,8611,79.72149890105162,106.13226443432029,27.13226443432029
2025-01-11,582e987d,Kisumu,Individual,Jaggery Paste,22,116,58,504,181,1689,2552,17.90175208843767,66.33791825359604,44.337918253596044
2025-01-11,dab4ab9c,Migori,Retail,Liquid Jaggery,56,71,142,986,322,1097,3976,61.858970540440225,77.53629897081618,21.536298970816176
2025-01-12,e8918010,Siaya,Retail,Liquid Jaggery,68,80,179,566,209,531,5440,103.69609582276114,151.03373610959548,83.03373610959548
2025-01-12,ba948dcc,Kisii,Retail,Jaggery Paste,63,130,125,715,172,1749,8190,70.19944110918588,93.18589179659364,30.185891796593637
2025-01-12,34a40835,Siaya,Retail,Jaggery Paste,85,89,72,706,268,1741,7565,34.03696055521129,57.79110357691446,0.0
2025-01-12,0da5298d,Homa Bay,Wholesale,Liquid Jaggery,76,92,52,597,183,1792,6992,21.714282560699623,59.26498319906568,0.0
2025-01-12,316648a3,Kisii,Wholesale,Liquid Jaggery,41,147,82,874,248,1851,6027,31.99202346236292,72.81128158712411,31.811281587124114
2025-01-12,65983104,Migori,Retail,Jaggery Paste,24,120,131,341,495,1543,2880,63.18299546332128,76.37725244661154,52.377252446611536
2025-01-12,1c1bae0c,Migori,Individual,Liquid Jaggery,39,91,115,848,367,1802,3549,52.146096114199224,68.75301609493714,29.753016094937138
2025-01-12,0b58ba14,Kisii,Wholesale,Jaggery Blocks,56,73,102,714,109,1121,4088,59.96456030596576,98.12224360284425,42.12224360284425
2025-01-13,caec6a78,Siaya,Retail,Jaggery Paste,86,139,79,494,128,1701,11954,42.79729092321017,72.39041334507907,0.0
2025-01-13,4083ce80,Migori,Wholesale,Liquid Jaggery,18,146,68,400,127,1488,2628,35.93376020209763,63.86843761936069,45.86843761936069
2025-01-13,b66abf22,Kisii,Wholesale,Jaggery Blocks,39,89,55,912,425,579,3471,24.663444967189108,64.99979059917729,25.999790599177288
2025-01-13,ae35fcc2,Kisii,Wholesale,Liquid Jaggery,11,147,122,462,122,1148,1617,38.92808926005993,72.03752006649361,61.03752006649361
2025-01-13,f9958c33,Siaya,Individual,Jaggery Blocks,36,100,191,505,262,825,3600,84.16332629427332,113.88449047511489,77.88449047511489
2025-01-13,d12cab4b,Kisumu,Wholesale,Jaggery Blocks,29,96,114,382,492,1698,2784,66.0595223162708,113.30029335145898,84.30029335145898
2025-01-14,e9755ced,Homa Bay,Individual,Jaggery Blocks,27,116,169,454,308,1683,3132,53.52650464244563,68.36649534292829,41.36649534292829
2025-01-14,4856feca,Kisii,Wholesale,Jaggery Paste,78,116,130,612,464,1841,9048,45.1553983210638,60.588695457594426,0.0
2025-01-14,95a212e9,Kisii,Individual,Liquid Jaggery,96,120,158,507,243,1397,11520,73.63543880742426,103.94944453292352,7.949444532923522
2025-01-14,d38993b3,Kisii,Wholesale,Liquid Jaggery,69,95,68,977,245,686,6555,40.43086857465363,76.61351622359756,7.613516223597557
2025-01-14,b8d6b295,Migori,Retail,Jaggery Paste,77,130,142,849,445,1101,10010,59.96969060976194,82.68808387614665,5.688083876146649
2025-01-14,d4531f01,Kisii,Retail,Liquid Jaggery,54,144,191,751,386,1644,7776,103.82653941629118,150.06610544225927,96.06610544225927
2025-01-14,5af72465,Migori,Wholesale,Jaggery Blocks,78,91,85,693,208,1954,7098,37.81165737987344,62.752443949143085,0.0
2025-01-15,254e9ce2,Migori,Retail,Liquid Jaggery,85,114,194,336,119,1584,9690,72.58733792176285,91.23937553360933,6.2393755336093335
2025-01-15,6b670ccb,Migori,Individual,Jaggery Blocks,49,93,161,426,112,863,4557,48.69921389078496,82.84449788650763,33.844497886507625
2025-01-15,08c62a9b,Migori,Wholesale,Liquid Jaggery,49,79,135,550,237,1303,3871,52.55578548151025,90.08511657493622,41.08511657493622
2025-01-15,0af00623,Migori,Wholesale,Liquid Jaggery,53,111,192,809,172,1758,5883,74.55132138175146,119.66351332611086,66.66351332611086
2025-01-15,a6802b96,Kisii,Wholesale,Jaggery Blocks,66,129,87,430,204,997,8514,42.47505009374359,90.54567073943666,24.54567073943666
2025-01-15,71468440,Kisii,Retail,Jaggery Paste,57,99,80,954,410,933,5643,43.053495724668394,75.46757468546687,18.46757468546687
2025-01-15,bf4757b3,Migori,Wholesale,Jaggery Blocks,46,112,64,851,254,1865,5152,25.23090852651592,64.09047545178282,18.090475451782822
2025-01-15,9b742a2b,Kisii,Wholesale,Jaggery Blocks,61,149,194,711,415,1497,9089,96.81582043938596,129.09104404530459,68.09104404530459
2025-01-15,08d9c7c9,Migori,Individual,Jaggery Blocks,66,92,182,695,282,933,6072,81.08820216120267,101.90604958005973,35.90604958005973
2025-01-16,5e4185c8,Kisii,Wholesale,Jaggery Paste,98,92,164,377,412,808,9016,74.47423018862973,94.82022467500175,0.0
2025-01-16,c04c1f7c,Kisumu,Individual,Jaggery Blocks,52,147,54,436,433,767,7644,17.988633862362967,34.39649039058068,0.0
2025-01-16,5583e1b7,Kisumu,Individual,Jaggery Blocks,70,109,100,394,174,1610,7630,33.32984441765432,56.9565172505241,0.0
2025-01-17,418ae04d,Homa Bay,Wholesale,Liquid Jaggery,15,94,197,417,373,1207,1410,79.23450853327077,90.41356261824868,75.41356261824868
2025-01-17,7ecb6f8e,Migori,Individual,Jaggery Paste,33,140,165,594,416,1366,4620,60.06147186763207,79.96171701042424,46.96171701042424
2025-01-17,f074eb4e,Migori,Individual,Jaggery Blocks,37,88,174,700,268,638,3256,58.0245967455552,93.24544243548213,56.24544243548213
2025-01-17,7226fef2,Kisii,Individual,Jaggery Paste,28,135,179,316,329,1032,3780,91.03204988606245,123.21592530790204,95.21592530790204
2025-01-17,dd0cd9ad,Homa Bay,Wholesale,Jaggery Paste,92,140,154,523,485,991,12880,89.21776487978279,123.227886197123,31.227886197123
2025-01-17,59eb2938,Kisumu,Individual,Jaggery Blocks,72,97,86,964,439,1012,6984,49.76121772735526,85.14261506199956,13.142615061999564
2025-01-17,8690fee0,Kisumu,Retail,Jaggery Paste,56,140,152,440,112,829,7840,50.42975544707207,60.99784169390266,4.997841693902657
2025-01-18,74742e7a,Homa Bay,Individual,Jaggery Blocks,28,112,78,378,320,722,3136,44.389661429544766,90.47455095936027,62.47455095936027
2025-01-18,494da023,Kisumu,Wholesale,Jaggery Blocks,20,114,134,668,151,1246,2280,50.0113732408835,73.64669386057778,53.646693860577784
2025-01-18,89847b64,Homa Bay,Wholesale,Jaggery Paste,67,113,163,891,416,1090,7571,95.20060077654152,133.2333192820887,66.2333192820887
2025-01-19,6da7c9d7,Migori,Retail,Jaggery Paste,56,70,98,407,130,1032,3920,48.972033796559934,81.16000085989256,25.160000859892563
2025-01-19,8545779d,Migori,Wholesale,Liquid Jaggery,99,128,150,838,205,703,12672,75.11656916608418,91.06347171393146,0.0
2025-01-19,4ef35110,Kisii,Retail,Liquid Jaggery,71,75,105,383,303,573,5325,37.14783141069152,82.87849686137463,11.878496861374629
2025-01-19,4a33057e,Kisii,Individual,Jaggery Blocks,12,128,157,623,374,1188,1536,72.67183292659983,85.45218378454328,73.45218378454328
2025-01-19,482f7ac8,Kisumu,Individual,Liquid Jaggery,43,138,144,604,203,939,5934,73.5736566424075,116.08393077429389,73.08393077429389
2025-01-20,8ac2c687,Migori,Wholesale,Jaggery Paste,97,104,117,325,244,675,10088,46.48120567220417,65.42231856426463,0.0
2025-01-20,9fabecdf,Migori,Wholesale,Jaggery Paste,46,130,75,518,234,1268,5980,27.30915589637524,60.32033969056525,14.320339690565248
2025-01-20,a32ce541,Kisii,Wholesale,Liquid Jaggery,13,117,90,535,350,1246,1521,43.506639353656325,64.8025237578894,51.802523757889404
2025-01-21,48f671c9,Kisii,Wholesale,Jaggery Paste,43,81,87,405,457,1525,3483,31.568853685098276,54.144255327796614,11.144255327796614
2025-01-21,4c24157c,Migori,Retail,Liquid Jaggery,65,80,147,987,238,1015,5200,82.90489375645227,115.38414742150744,50.384147421507436
2025-01-21,90564a6e,Migori,Retail,Liquid Jaggery,80,113,178,345,251,933,9040,69.05452731632631,109.74170045247277,29.74170045247277
2025-01-21,56dc63ee,Migori,Wholesale,Liquid Jaggery,17,75,66,382,336,1569,1275,32.24517181140145,76.14141720857091,59.141417208570914
2025-01-21,dd83bc2b,Kisumu,Wholesale,Jaggery Paste,58,95,66,457,107,1687,5510,25.635353967758082,43.29509036499017,0.0
2025-01-21,07f17e10,Migori,Wholesale,Jaggery Paste,90,125,131,662,429,967,11250,66.96379764683464,79.73961024445632,0.0
2025-01-21,66737c7d,Homa Bay,Retail,Jaggery Paste,79,93,50,670,464,722,7347,17.32223632307603,33.42520529517118,0.0
2025-01-21,808a30e8,Siaya,Individual,Liquid Jaggery,51,131,150,389,290,1649,6681,77.48896328093389,100.82945742744856,49.82945742744856
2025-01-22,78f96930,Kisumu,Wholesale,Jaggery Paste,31,126,144,779,193,1002,3906,67.89470189648253,95.87401238052573,64.87401238052573
2025-01-22,f0f27438,Migori,Retail,Jaggery Blocks,15,125,129,452,268,522,1875,64.21685672994097,99.0898393135576,84.0898393135576
2025-01-22,ee171b08,Kisii,Individual,Jaggery Paste,81,85,136,374,429,1620,6885,45.887655842643014,58.45103934680566,0.0
2025-01-22,b6db6210,Migori,Retail,Jaggery Blocks,59,120,168,581,345,1507,7080,95.98080918714237,116.62714462918943,57.62714462918943
2025-01-23,90880463,Kisii,Wholesale,Jaggery Blocks,94,89,136,821,154,753,8366,80.32045754425123,119.49750130355983,25.49750130355983
2025-01-23,a47f2c38,Homa Bay,Individual,Jaggery Paste,87,96,130,328,324,1779,8352,44.72944745189415,73.38519214630938,0.0
2025-01-23,0f37b49a,Siaya,Wholesale,Jaggery Paste,48,95,163,452,160,867,4560,55.94980619350262,95.38588562824361,47.385885628243614
2025-01-23,ad0cb2c2,Kisumu,Individual,Jaggery Paste,34,83,70,358,114,966,2822,23.678931178649968,59.426100616936544,25.426100616936544
2025-01-23,2e3b2115,Migori,Retail,Jaggery Blocks,22,119,53,765,430,1028,2618,20.570813781135442,53.1358915316153,31.1358915316153
2025-01-23,03c79150,Migori,Wholesale,Liquid Jaggery,69,117,111,559,467,1065,8073,35.27213606970703,59.50597251950585,0.0
2025-01-24,c9c2e0e1,Kisumu,Individual,Jaggery Blocks,24,138,56,688,225,1379,3312,30.363406436166187,61.27115739794767,37.27115739794767
2025-01-24,8c27b3eb,Siaya,Retail,Jaggery Paste,65,88,144,320,209,1546,5720,81.99894965959635,92.14965744161768,27.149657441617677
2025-01-24,d4cae419,Kisii,Individual,Jaggery Paste,96,102,184,350,498,1437,9792,88.79379013612294,121.1429678771045,25.142967877104496
2025-01-24,1fff8893,Homa Bay,Retail,Liquid Jaggery,63,78,63,525,227,1605,4914,22.24759554868573,47.33207493006351,0.0
2025-01-24,69a67ef6,Kisii,Wholesale,Liquid Jaggery,95,124,147,501,266,1277,11780,69.10524355102959,99.3286767984055,4.328676798405496
2025-01-25,c3969d31,Kisumu,Retail,Jaggery Paste,65,122,57,356,302,500,7930,20.446602553023272,31.180138113449267,0.0
2025-01-25,c9726298,Migori,Wholesale,Liquid Jaggery,68,137,115,726,314,919,9316,57.05487535671664,90.21153666042534,22.211536660425338
2025-01-25,1635e3ab,Migori,Retail,Liquid Jaggery,41,134,173,306,237,1284,5494,76.16786642708598,123.2401347914876,82.2401347914876
2025-01-25,7ce5c1e3,Homa Bay,Individual,Jaggery Paste,16,120,111,761,241,1560,1920,61.481368304999116,71.92250624496457,55.922506244964566
2025-01-25,4cb12061,Migori,Individual,Jaggery Paste,81,91,134,905,330,1932,7371,46.55668809924934,73.12902059261626,0.0
2025-01-25,f8ecc5fe,Homa Bay,Wholesale,Jaggery Blocks,73,139,139,330,251,1281,10147,73.0921350711091,114.6097718980251,41.6097718980251
2025-01-25,a482b9f7,Homa Bay,Retail,Liquid Jaggery,75,85,166,525,167,1687,6375,60.80972790993341,91.4131029568048,16.413102956804806
2025-01-26,b2440c73,Migori,Individual,Jaggery Paste,56,125,98,673,151,1385,7000,30.82283892920551,73.72355100913944,17.72355100913944
2025-01-26,bef81791,Migori,Wholesale,Jaggery Paste,75,127,182,639,125,563,9525,55.05676503513427,97.99066411297989,22.990664112979886
2025-01-26,2c3564c8,Migori,Wholesale,Jaggery Blocks,71,99,166,588,289,518,7029,91.33875684666299,123.84439673658696,52.84439673658696
2025-01-26,0864f933,Migori,Wholesale,Jaggery Paste,66,88,142,680,427,1220,5808,77.1067573447708,98.12902414961995,32.12902414961995
2025-01-26,1e2dc1dd,Migori,Individual,Jaggery Paste,19,72,152,343,152,1563,1368,76.73236477946621,92.03811975762483,73.03811975762483
2025-01-26,bbd6f0ca,Migori,Retail,Jaggery Paste,13,109,111,558,179,1940,1417,38.90307279645553,66.95937961379829,53.95937961379829
2025-01-26,0a654493,Migori,Wholesale,Jaggery Paste,59,114,199,881,291,955,6726,98.41706350140491,124.92386126154656,65.92386126154656
2025-01-27,099e20d2,Kisumu,Individual,Jaggery Paste,31,84,102,316,155,1212,2604,35.285924898494756,52.406737870185566,21.406737870185566
2025-01-27,8faa151a,Kisii,Individual,Jaggery Blocks,69,108,175,328,123,815,7452,84.57264491331581,105.83302974421083,36.83302974421083
2025-01-27,20d1987c,Kisii,Wholesale,Jaggery Paste,78,98,118,765,255,540,7644,39.86640349126528,81.4653938740586,3.4653938740586057
2025-01-27,f61610f0,Migori,Wholesale,Jaggery Paste,63,115,50,697,344,1495,7245,15.846020366411857,26.188788798841486,0.0
2025-01-27,3b49a214,Homa Bay,Wholesale,Jaggery Blocks,45,115,169,357,446,1582,5175,71.94774911111797,121.31548477986051,76.31548477986051
2025-01-27,be5c70c2,Kisumu,Wholesale,Jaggery Blocks,81,136,145,904,434,1582,11016,81.27092029001776,93.18290867632773,12.182908676327727
2025-01-27,62fc460b,Migori,Wholesale,Jaggery Paste,37,85,163,504,165,1701,3145,61.7854998071699,82.82894334674039,45.82894334674039
2025-01-28,c60b74ed,Homa Bay,Wholesale,Jaggery Blocks,48,112,106,428,312,1068,5376,44.48252455618502,80.86035090481056,32.86035090481056
2025-01-28,b295fd9e,Kisii,Wholesale,Liquid Jaggery,84,70,167,830,388,835,5880,74.96958597602192,91.45900790164501,7.459007901645009
2025-01-28,f08b5d87,Migori,Individual,Liquid Jaggery,15,84,151,986,352,992,1260,79.10532183512686,92.87493585421676,77.87493585421676
2025-01-28,539a9ea1,Kisii,Individual,Liquid Jaggery,34,102,117,898,486,746,3468,58.00221396705613,107.8890240240851,73.8890240240851
2025-01-28,75cb72d5,Kisii,Retail,Liquid Jaggery,86,143,91,448,237,1671,12298,48.424760435934616,70.12911619752043,0.0
2025-01-28,bcc5aa75,Migori,Wholesale,Jaggery Blocks,23,93,136,603,285,1693,2139,69.80830801171825,119.47628645246076,96.47628645246076
2025-01-28,744327b3,Migori,Individual,Jaggery Paste,70,113,184,402,438,1292,7910,55.65254732642911,100.46838365545719,30.46838365545719
2025-01-28,7a73a518,Kisumu,Wholesale,Jaggery Paste,58,149,137,739,147,1706,8642,55.092128392086096,91.9698838260321,33.9698838260321
2025-01-28,f75897a8,Migori,Individual,Jaggery Blocks,41,148,80,580,431,1445,6068,43.18171426088299,65.02426788938642,24.024267889386422
2025-01-29,9e2dcdc7,Migori,Individual,Jaggery Blocks,12,117,107,643,264,1329,1404,57.5693142785843,84.30430248289821,72.30430248289821
2025-01-29,3053da55,Kisii,Wholesale,Liquid Jaggery,78,123,160,644,122,996,9594,79.64775014323207,99.73851372726591,21.73851372726591
2025-01-29,f38da287,Homa Bay,Retail,Jaggery Paste,62,88,167,510,214,631,5456,89.8609839542046,115.75066921287801,53.75066921287801
2025-01-29,35c4762b,Homa Bay,Wholesale,Jaggery Paste,74,111,76,727,293,1392,8214,23.82802591692289,57.99624511145506,0.0
2025-01-29,08bd9479,Kisumu,Wholesale,Jaggery Blocks,67,95,187,414,423,995,6365,95.25621747081472,130.20133078526737,63.20133078526737
2025-01-29,45364894,Migori,Individual,Liquid Jaggery,48,76,106,502,412,1619,3648,57.39947318775464,97.56872612173659,49.56872612173659
2025-01-29,2efddb65,Homa Bay,Wholesale,Liquid Jaggery,15,127,121,531,262,1463,1905,40.01219340019531,66.69432154831213,51.69432154831213
2025-01-30,16d5e322,Kisumu,Retail,Liquid Jaggery,20,77,161,992,253,1325,1540,48.38752123588485,65.07957643561085,45.079576435610846
2025-01-30,3a74c738,Kisumu,Wholesale,Jaggery Paste,47,78,72,678,141,873,3666,28.679858046170327,50.50539131735577,3.505391317355773
2025-01-30,47198f52,Homa Bay,Wholesale,Jaggery Blocks,72,130,88,653,428,1041,9360,31.644377230782073,49.90218652743009,0.0
2025-01-30,f356a284,Migori,Wholesale,Jaggery Blocks,85,140,174,435,333,1456,11900,86.91927329753074,118.7375411132304,33.73754111323041
2025-01-30,9bb78d07,Kisumu,Wholesale,Liquid Jaggery,72,87,165,539,474,1239,6264,65.07178655403824,108.80226826690881,36.80226826690881
2025-01-30,ca6eff82,Homa Bay,Retail,Jaggery Blocks,69,71,97,917,384,985,4899,33.773551561102785,46.0423497031723,0.0
